"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1902895","positive regulation of miRNA transcription",48,-0.526023083870343,-1.72955107432209,0.00327620928030623,0.0340303028470519,0.0270721617749464,3023,"tags=44%, list=22%, signal=34%","2113/7124/4609/183/3091/6688/2624/7157/7040/650/4853/9314/57591/1956/6774/6720/8862/4804/4854/1958/2353"
"GO:0048661","positive regulation of smooth muscle cell proliferation",71,-0.467148535741987,-1.65591263567385,0.00328539520420131,0.0340592124652661,0.0270951602732161,2129,"tags=34%, list=16%, signal=29%","27086/7040/6772/652/7099/55512/1906/5031/1956/3162/3673/4209/6376/6714/3479/3248/4921/7057/5159/8013/4313/8840/5743/4854"
"GO:0030510","regulation of BMP signaling pathway",82,-0.459194533564605,-1.65430504299118,0.0032914364987442,0.0340592124652661,0.0270951602732161,2603,"tags=37%, list=19%, signal=30%","23213/3516/348093/51496/25/4926/4756/222223/2022/57045/4092/4853/652/11167/5046/6498/7474/56963/3491/8646/6424/7130/6497/4851/23090/2200/2719/6423/91851/25884"
"GO:0030098","lymphocyte differentiation",308,-0.331889774126133,-1.39936597060894,0.0033115441260057,0.0342026274448211,0.0272092513391968,2581,"tags=29%, list=19%, signal=24%","3815/3516/9935/301/7157/10312/54567/6601/60/25/596/860/865/9308/23228/64332/10288/27086/9760/5087/3988/7040/7048/3716/4092/4853/652/4221/146850/8325/9840/942/3965/3140/6666/2213/51341/6778/6693/3707/3623/6776/26022/5777/3071/5293/5896/7409/861/864/678/6095/5914/29760/3566/84695/9580/602/1840/639/3714/84447/1794/23476/6774/7704/11006/3559/150372/3394/100/55619/3726/84766/920/558/604/91543/4323/57178/10673/139818/677/1880/114548/10875/2736/4914/1958"
"GO:0042462","eye photoreceptor cell development",17,-0.684723399498285,-1.73503084235298,0.00333510098621091,0.0343164338318017,0.027299787851117,2985,"tags=59%, list=22%, signal=46%","5584/112724/7070/7422/80184/639/4647/4915/6096/148398"
"GO:0051346","negative regulation of hydrolase activity",133,-0.406042375173615,-1.56824572301075,0.00333267507917951,0.0343164338318017,0.027299787851117,1289,"tags=25%, list=10%, signal=23%","1294/11153/27151/80760/7035/9806/5329/7980/1293/153090/3428/22925/6714/120892/7057/7077/5270/64780/58189/7078/5176/89932/1893/710/4035/51291/5365/221476/5743/3699/2719/6695/5104"
"GO:0006692","prostanoid metabolic process",36,-0.554327747587977,-1.72669303725577,0.00334265425650583,0.0343296236399867,0.027310280752769,1766,"tags=33%, list=13%, signal=29%","1906/5730/552/3248/255189/29785/5740/1645/5743/5321/27306/1646"
"GO:0043113","receptor clustering",53,-0.507005402529588,-1.70687844879909,0.00337976229346123,0.0346457280794134,0.0275617516421232,1194,"tags=28%, list=9%, signal=26%","57728/9378/2934/85358/5649/8831/4593/388336/7130/57555/375790/2316/2898/9379/91851"
"GO:0006814","sodium ion transport",142,-0.393819292021676,-1.53444511813837,0.00340525649820863,0.0348418206938206,0.0277177494010607,2123,"tags=26%, list=16%, signal=22%","57419/7040/11261/57731/259232/1906/478/6553/4302/5187/6330/81539/57657/6339/6335/9311/3775/219931/610/28968/23171/2258/5270/7226/6548/57030/10021/84679/285195/55283/482/41/1910/65268/6536/23439/130497"
"GO:0032413","negative regulation of ion transmembrane transporter activity",42,-0.53474393896457,-1.71624925284494,0.00341644188424298,0.0348910501387054,0.0277569129519113,943,"tags=19%, list=7%, signal=18%","255057/23704/2669/2859/6536/130497/2048/6588"
